"";"RMSE";"Modelo"
"1";0,873519430729632;3
"2";0,664747928510306;4
"3";0,660322998419387;5
"4";0,659181589245332;6
"5";0,658208194889366;7
"6";0,657516096085087;8
"7";0,658174217067301;9
"8";0,6571242740133;10
"9";0,654391591107204;11
